Code,functions,loops,conditionals,variables,lines,complexity,GeneratedQuestions
binary_search,1,1,1,1,20,Simple,"1. [beginner] What is the purpose of variable 'mid'?
2. [beginner] What does the function 'binary_search' return?
3. [intermediate] How many times is the variable 'mid' modified in the code?
4. [intermediate] How does this implementation differ from the standard binary_search algorithm?
5. [advanced] What edge cases might cause function 'binary_search' to fail? How would you handle them?
6. [advanced] Is the variable 'high' used optimally? Could its usage be improved?"
linear_search,1,1,1,1,9,Simple,"1. [beginner] What is the data type of variable 'i'?
2. [beginner] How many times will the for loop on line 3 execute with typical input?
3. [intermediate] What are the postconditions after function 'linear_search' completes execution?
4. [intermediate] What is the value of 'i' after line 3?
5. [advanced] What is the time complexity of function 'for'? Justify your answer.
6. [advanced] How could you optimize function 'linear_search' for better performance?"
bubble_sort,1,1,1,1,14,Simple,"1. [beginner] What is the initial value of 'i'?
2. [beginner] List all the functions in this code and describe what each one does.
3. [intermediate] How many times is the variable 'temp' modified in the code?
4. [intermediate] How many times is the variable 'i' modified in the code?
5. [advanced] Identify potential side effects of function 'bubble_sort' and how they could be eliminated.
6. [advanced] What edge cases might cause function 'bubble_sort' to fail? How would you handle them?"
insertion_sort,1,1,0,1,14,Simple,"1. [beginner] What is the purpose of the function 'insertion_sort'?
2. [beginner] What is the purpose of the while loop on line 7?
3. [intermediate] Is the function 'while' recursive? Explain why or why not.
4. [intermediate] What would happen if 'i' was not initialized?
5. [advanced] Is the variable 'i' used optimally? Could its usage be improved?
6. [advanced] Identify any potential issues with the way variable 'i' is used in the code."
selection_sort,1,1,1,1,19,Simple,"1. [beginner] What is the data type of variable 'j'?
2. [beginner] What does the function 'for' return?
3. [intermediate] What would happen if 'i' was not initialized?
4. [intermediate] What is the value of 'i' after line 3?
5. [advanced] Identify any potential issues with the way variable 'i' is used in the code.
6. [advanced] Is the variable 'i' used optimally? Could its usage be improved?"
merge_sort,1,1,1,1,60,Moderate,"1. [beginner] What is the purpose of the function 'while'?
2. [beginner] What happens in each iteration of the for loop on line 14?
3. [intermediate] How many times is the variable 'n2' modified in the code?
4. [intermediate] What data structures are used in this algorithm and why?
5. [advanced] Identify any potential issues with the way variable 'n2' is used in the code.
6. [advanced] Identify potential optimizations for this algorithm."
quick_sort,1,1,1,1,31,Moderate,"1. [beginner] List all the functions in this code and describe what each one does.
2. [beginner] What is the purpose of variable 'j'?
3. [intermediate] What are the postconditions after function 'for' completes execution?
4. [intermediate] What are the preconditions that must be true before calling function 'partition'?
5. [advanced] How would making variable 'i' immutable (const/final) affect the code?
6. [advanced] How could you optimize function 'partition' for better performance?"
dfs,1,1,1,1,70,Moderate,"1. [beginner] What is the purpose of variable 'top'?
2. [beginner] What happens in each iteration of the while loop on line 48?
3. [intermediate] What are the postconditions after function 'push' completes execution?
4. [intermediate] What are the preconditions that must be true before calling function 'pop'?
5. [advanced] Identify any potential issues with the way variable 'top' is used in the code.
6. [advanced] Could the conditional on line 60 introduce any potential bugs? Explain."
bfs,1,1,1,1,58,Moderate,"1. [beginner] How many parameters does function 'enqueue' accept?
2. [beginner] List all the functions in this code and describe what each one does.
3. [intermediate] What is the termination condition for the while loop on line 36?
4. [intermediate] Is the function 'is_queue_empty' recursive? Explain why or why not.
5. [advanced] Identify potential side effects of function 'dequeue' and how they could be eliminated.
6. [advanced] What edge cases might cause function 'dequeue' to fail? How would you handle them?"
dijkstra,1,1,1,1,65,Moderate,"1. [beginner] What is the data type of variable 'capacity'?
2. [beginner] What is the purpose of variable 'size'?
3. [intermediate] What is the value of 'v' after line 10?
4. [intermediate] What would happen if 'dist' was not initialized?
5. [advanced] Is the variable 'dist' used optimally? Could its usage be improved?
6. [advanced] Is the variable 'u' used optimally? Could its usage be improved?"
