Code,functions,loops,conditionals,variables,lines,complexity,GeneratedQuestions
binary_search,1,1,1,1,16,Simple,"1. [beginner] What is the purpose of variable 'high'?
2. [beginner] What is the initial value of 'low'?
3. [intermediate] What is the expected output when this algorithm is executed with input [1, 2, 3, 4, 5], target=3?
4. [intermediate] What is the termination condition for the while loop on line 6?
5. [advanced] What is the space complexity of this algorithm? Justify your answer.
6. [advanced] Could variable 'low' cause any memory-related issues? Explain."
linear_search,1,1,1,0,7,Simple,"1. [beginner] How many times will the for loop on line 3 execute with typical input?
2. [beginner] What is the purpose of the conditional statement on line 4?
3. [intermediate] Is the function 'linear_search' recursive? Explain why or why not.
4. [intermediate] Can the condition on line 4 be simplified? If so, how?
5. [advanced] Could the conditional on line 4 introduce any potential bugs? Explain.
6. [advanced] What is the time complexity of function 'linear_search'? Justify your answer."
bubble_sort,1,1,1,1,9,Simple,"1. [beginner] What is the purpose of the conditional statement on line 6?
2. [beginner] What is the purpose of variable 'n'?
3. [intermediate] What is the value of 'n' after line 3?
4. [intermediate] Can the condition on line 6 be simplified? If so, how?
5. [advanced] Analyze the efficiency of the for loop on line 4. Can it be improved?
6. [advanced] What would be the impact on performance if you unrolled the loop on line 4?"
insertion_sort,1,1,0,1,11,Simple,"1. [beginner] What does the function 'insertion_sort' return?
2. [beginner] What is the purpose of the while loop on line 6?
3. [intermediate] What would happen if the loop on line 3 never terminates? How could you fix it?
4. [intermediate] What is the termination condition for the while loop on line 6?
5. [advanced] What is the time complexity of function 'insertion_sort'? Justify your answer.
6. [advanced] How would you parallelize the loop on line 3 for better performance?"
selection_sort,1,1,1,1,10,Simple,"1. [beginner] What is the purpose of the function 'selection_sort'?
2. [beginner] What is the purpose of the conditional statement on line 6?
3. [intermediate] Is the function 'selection_sort' recursive? Explain why or why not.
4. [intermediate] What would happen if function 'selection_sort' received x as arguments?
5. [advanced] What invariants are maintained throughout the execution of the loop on line 3?
6. [advanced] What would be the impact on performance if you unrolled the loop on line 3?"
merge_sort,1,1,1,1,33,Moderate,"1. [beginner] What is the data type of variable 'result'?
2. [beginner] What is the purpose of the function 'merge'?
3. [intermediate] What is the value of 'right' after line 9?
4. [intermediate] What would happen if the loop on line 22 never terminates? How could you fix it?
5. [advanced] Analyze the short-circuit evaluation in the condition on line 3. Does it affect performance?
6. [advanced] Is the variable 'right' used optimally? Could its usage be improved?"
quick_sort,1,1,1,1,22,Moderate,"1. [beginner] Under what condition(s) will the code block on line 3 execute?
2. [beginner] What is the initial value of 'pivot'?
3. [intermediate] Is there any redundancy in the conditional statement on line 3?
4. [intermediate] What would happen if 'pivot' was not initialized?
5. [advanced] How would you modify the conditional on line 3 to handle edge cases?
6. [advanced] Could the conditional on line 3 introduce any potential bugs? Explain."
dfs,1,1,1,1,13,Moderate,"1. [beginner] What is the purpose of the while loop on line 6?
2. [beginner] Under what condition(s) will the code block on line 8 execute?
3. [intermediate] What would happen if the loop on line 6 never terminates? How could you fix it?
4. [intermediate] How many times is the variable 'vertex' modified in the code?
5. [advanced] Is the variable 'visited' used optimally? Could its usage be improved?
6. [advanced] What is the time complexity of function 'dfs'? Justify your answer."
bfs,1,1,1,1,15,Moderate,"1. [beginner] What is the purpose of the while loop on line 7?
2. [beginner] How many times will the while loop on line 7 execute with typical input?
3. [intermediate] Could the variable 'visited' be declared with a different scope? What impact would that have?
4. [intermediate] What would happen if function 'bfs' received x, x as arguments?
5. [advanced] Analyze the efficiency of the while loop on line 7. Can it be improved?
6. [advanced] Identify any potential issues with the way variable 'visited' is used in the code."
dijkstra,1,1,1,1,23,Moderate,"1. [beginner] What is the purpose of the function 'dijkstra'?
2. [beginner] What does the function 'dijkstra' return?
3. [intermediate] How many times is the variable 'distances' modified in the code?
4. [intermediate] What is the expected output when this algorithm is executed with input { 1: {2: 4, 3: 2}, 2: {3: 5, 4: 10}, 3: {4: 3}, 4: {} }?
5. [advanced] What is the time complexity of function 'dijkstra'? Justify your answer.
6. [advanced] How does the conditional on line 18 affect the program's control flow?"
